ruta;bloque;extension;bytes;lineas;sintaxis_ok;imports_relativos_no_resueltos;marcador_temporal_todo;usa_any
src/domain/conocimiento/DecisionJuridica.ts;Motores jurídicos, reglas y CPV;.ts;1199;64;SI;0;NO;NO
src/domain/conocimiento/ExpressionEvaluator.ts;Motores jurídicos, reglas y CPV;.ts;3327;218;SI;0;NO;SI
src/domain/conocimiento/FuenteJuridica.ts;Motores jurídicos, reglas y CPV;.ts;1266;79;SI;0;NO;NO
src/domain/conocimiento/InferenceEngine.ts;Motores jurídicos, reglas y CPV;.ts;2252;135;SI;0;NO;NO
src/domain/conocimiento/KnowledgeCategory.ts;Motores jurídicos, reglas y CPV;.ts;918;54;SI;0;NO;NO
src/domain/conocimiento/KnowledgeEngine.ts;Motores jurídicos, reglas y CPV;.ts;79637;5753;NO;0;SI;NO
src/domain/conocimiento/KnowledgeLoader.ts;Motores jurídicos, reglas y CPV;.ts;1724;109;SI;0;SI;NO
src/domain/conocimiento/KnowledgeManager.ts;Motores jurídicos, reglas y CPV;.ts;2839;137;SI;0;SI;NO
src/domain/conocimiento/KnowledgeQueryEngine.ts;Motores jurídicos, reglas y CPV;.ts;2648;184;SI;0;SI;SI
src/domain/conocimiento/KnowledgeRepository.ts;Motores jurídicos, reglas y CPV;.ts;4930;302;SI;0;SI;SI
src/domain/conocimiento/PlanDocumentalEngine.ts;Motores jurídicos, reglas y CPV;.ts;2762;182;SI;0;NO;NO
src/domain/conocimiento/ReferenciaNormativa.ts;Motores jurídicos, reglas y CPV;.ts;1784;94;SI;0;NO;NO
src/domain/conocimiento/ReglaJuridica.ts;Motores jurídicos, reglas y CPV;.ts;2082;123;SI;0;NO;NO
src/domain/conocimiento/RepositorioCPV.ts;Motores jurídicos, reglas y CPV;.ts;1914;92;SI;0;NO;NO
src/domain/conocimiento/RepositorioClausulas.ts;Motores jurídicos, reglas y CPV;.ts;395;18;SI;0;NO;NO
src/domain/conocimiento/RepositorioInformes.ts;Motores jurídicos, reglas y CPV;.ts;305;15;SI;0;NO;NO
src/domain/conocimiento/RepositorioNormativo.ts;Motores jurídicos, reglas y CPV;.ts;1937;100;SI;0;SI;NO
src/domain/conocimiento/RepositorioPlantillas.ts;Motores jurídicos, reglas y CPV;.ts;392;18;SI;0;NO;NO
src/domain/conocimiento/RepositorioReglas.ts;Motores jurídicos, reglas y CPV;.ts;321;15;SI;0;NO;NO
src/domain/conocimiento/ResultadoBusquedaCPV.ts;Motores jurídicos, reglas y CPV;.ts;1098;57;SI;0;NO;NO
src/domain/conocimiento/ResultadoMotor.ts;Motores jurídicos, reglas y CPV;.ts;1211;62;SI;0;SI;NO
src/domain/conocimiento/RuleEngine.ts;Motores jurídicos, reglas y CPV;.ts;2218;137;SI;0;NO;NO
src/domain/conocimiento/RuleLoader.ts;Motores jurídicos, reglas y CPV;.ts;1176;67;SI;0;NO;NO
src/domain/container/DependencyContainer.ts;Arquitectura transversal/legacy;.ts;16483;979;NO;0;SI;SI
src/domain/cpv/CPVEngine.ts;Motores jurídicos, reglas y CPV;.ts;105820;7268;NO;0;NO;NO
src/domain/cpv/CPVEntry.ts;Motores jurídicos, reglas y CPV;.ts;1073;65;SI;0;NO;NO
src/domain/cpv/CPVMatcher.ts;Motores jurídicos, reglas y CPV;.ts;2707;184;SI;0;NO;NO
src/domain/cpv/CPVRepository.ts;Motores jurídicos, reglas y CPV;.ts;2903;196;SI;0;SI;NO
src/domain/decision/ContractDecisionEngine.ts;Dominio y expediente;.ts;21337;1372;SI;1;SI;SI
src/domain/decision/DecisionEngine.ts;Dominio y expediente;.ts;3716;209;SI;0;NO;NO
